Time,Sample#,Type,Sub,Chan,Num,Aux,Duration
[21:50:27.000],1227,"""",0,0,0,Hyp,0:10.8
[22:42:08.000],4328,"""",0,0,0,Hyp,0:19.2
[22:43:12.000],4392,"""",0,0,0,Hyp,0:19.3
[22:45:38.000],4538,"""",0,0,0,Hyp,0:16.7
[23:01:06.000],5466,"""",0,0,0,Hyp,0:15.2
[23:19:28.000],6568,"""",0,0,0,Hyp,0:10.6
[23:19:50.000],6590,"""",0,0,0,Hyp,0:10.3
[23:20:17.000],6617,"""",0,0,0,Hyp,0:22.9
[23:21:13.000],6673,"""",0,0,0,Hyp,0:14.9
[23:21:47.000],6707,"""",0,0,0,Hyp,0:15.9
[23:22:12.000],6732,"""",0,0,0,Hyp,0:18.2
[23:22:33.000],6753,"""",0,0,0,Hyp,0:13.6
[23:23:04.000],6784,"""",0,0,0,Hyp,0:11.1
[23:23:29.000],6809,"""",0,0,0,Hyp,0:27.3
[23:24:00.000],6840,"""",0,0,0,Hyp,0:16.2
[23:25:17.000],6917,"""",0,0,0,Hyp,0:12.6
[23:26:04.000],6964,"""",0,0,0,Hyp,0:12.8
[23:26:26.000],6986,"""",0,0,0,Hyp,0:17.3
[23:26:52.000],7012,"""",0,0,0,Hyp,0:19.6
[23:27:58.000],7078,"""",0,0,0,Hyp,0:13.1
[23:28:31.000],7111,"""",0,0,0,Hyp,0:12.4
[23:29:03.000],7143,"""",0,0,0,Hyp,0:18.8
[23:29:40.000],7180,"""",0,0,0,Hyp,0:19.5
[23:30:29.000],7229,"""",0,0,0,Hyp,0:18.5
[23:31:23.000],7283,"""",0,0,0,Hyp,0:21.1
[23:32:17.000],7337,"""",0,0,0,Hyp,0:20.3
[23:32:50.000],7370,"""",0,0,0,Hyp,0:12.6
[23:33:07.000],7387,"""",0,0,0,Hyp,0:12.6
[23:34:17.000],7457,"""",0,0,0,Hyp,0:10.1
[23:34:37.000],7477,"""",0,0,0,Hyp,0:19.6
[23:35:29.000],7529,"""",0,0,0,Hyp,0:13.6
[23:36:09.000],7569,"""",0,0,0,Hyp,0:16.8
[23:36:56.000],7616,"""",0,0,0,Hyp,0:12.6
[23:37:22.000],7642,"""",0,0,0,Hyp,0:11.5
[23:38:45.000],7725,"""",0,0,0,Hyp,0:13.1
[23:41:40.000],7900,"""",0,0,0,Hyp,0:14.2
[23:42:11.000],7931,"""",0,0,0,Hyp,0:22.2
[23:42:48.000],7968,"""",0,0,0,Hyp,0:11.3
[23:43:12.000],7992,"""",0,0,0,Hyp,0:17.0
[23:43:49.000],8029,"""",0,0,0,Hyp,0:13.7
[23:44:35.000],8075,"""",0,0,0,Hyp,0:19.6
[23:45:03.000],8103,"""",0,0,0,Hyp,0:18.2
[23:45:40.000],8140,"""",0,0,0,Hyp,0:10.8
[23:46:46.000],8206,"""",0,0,0,Hyp,0:12.1
[23:47:58.000],8278,"""",0,0,0,Hyp,0:12.6
[23:57:58.000],8878,"""",0,0,0,Hyp,0:14.4
[00:35:53.000,11153,"""",0,0,0,Hyp,0:15.7
[00:44:21.000,11661,"""",0,0,0,Hyp,0:13.9
[00:47:01.000,11821,"""",0,0,0,Hyp,0:10.8
[00:47:38.000,11858,"""",0,0,0,Hyp,0:10.8
[00:57:18.000,12438,"""",0,0,0,Hyp,0:10.6
[01:00:08.000,12608,"""",0,0,0,Hyp,0:14.9
[01:00:59.000,12659,"""",0,0,0,Hyp,0:15.4
[01:01:27.000,12687,"""",0,0,0,Hyp,0:22.6
[01:01:57.000,12717,"""",0,0,0,Hyp,0:11.3
[01:02:31.000,12751,"""",0,0,0,Ob.A,0:15.1
[01:03:12.000,12792,"""",0,0,0,Ob.A,0:16.7
[01:03:53.000,12833,"""",0,0,0,Ob.A,0:15.0
[01:04:31.000,12871,"""",0,0,0,Hyp,0:15.1
[01:05:48.000,12948,"""",0,0,0,Hyp,0:12.1
[01:06:10.000,12970,"""",0,0,0,Ob.A,0:12.1
[01:06:50.000,13010,"""",0,0,0,Ob.A,0:15.1
[01:07:38.000,13058,"""",0,0,0,Hyp,0:18.6
[01:08:31.000,13111,"""",0,0,0,Ob.A,0:18.8
[01:09:36.000,13176,"""",0,0,0,Hyp,0:12.6
[01:09:59.000,13199,"""",0,0,0,Hyp,0:12.3
[01:10:15.000,13215,"""",0,0,0,Hyp,0:20.0
[01:11:22.000,13282,"""",0,0,0,Hyp,0:18.3
[01:11:54.000,13314,"""",0,0,0,Hyp,0:15.2
[01:12:54.000,13374,"""",0,0,0,Hyp,0:25.7
[01:14:05.000,13445,"""",0,0,0,Hyp,0:14.7
[01:15:55.000,13555,"""",0,0,0,Hyp,0:11.1
[01:17:55.000,13675,"""",0,0,0,Hyp,0:12.1
[01:18:29.000,13709,"""",0,0,0,Hyp,0:18.7
[01:19:12.000,13752,"""",0,0,0,Hyp,0:18.5
[01:19:42.000,13782,"""",0,0,0,Hyp,0:13.1
[01:20:20.000,13820,"""",0,0,0,Hyp,0:16.2
[01:21:05.000,13865,"""",0,0,0,Hyp,0:11.3
[01:22:02.000,13922,"""",0,0,0,Hyp,0:13.1
[01:24:36.000,14076,"""",0,0,0,Hyp,0:16.9
[01:27:43.000,14263,"""",0,0,0,Hyp,0:15.2
[01:33:15.000,14595,"""",0,0,0,Hyp,0:14.2
[01:44:03.000,15243,"""",0,0,0,Hyp,0:14.9
[02:30:41.000,18041,"""",0,0,0,Hyp,0:20.6
[02:31:31.000,18091,"""",0,0,0,Hyp,0:25.5
[02:32:20.000,18140,"""",0,0,0,Hyp,0:22.1
[02:32:51.000,18171,"""",0,0,0,Hyp,0:30.9
[02:33:29.000,18209,"""",0,0,0,Hyp,0:12.3
[02:33:55.000,18235,"""",0,0,0,Hyp,0:17.7
[02:34:29.000,18269,"""",0,0,0,Hyp,0:12.4
[02:34:50.000,18290,"""",0,0,0,Hyp,0:17.5
[02:35:29.000,18329,"""",0,0,0,Hyp,0:13.1
[02:36:01.000,18361,"""",0,0,0,Hyp,0:17.0
[02:36:26.000,18386,"""",0,0,0,Hyp,0:12.8
[02:36:53.000,18413,"""",0,0,0,Hyp,0:23.1
[02:37:33.000,18453,"""",0,0,0,Hyp,0:21.4
[02:37:58.000,18478,"""",0,0,0,Hyp,0:11.8
[02:38:39.000,18519,"""",0,0,0,Hyp,0:11.8
[02:39:13.000,18553,"""",0,0,0,Hyp,0:20.3
[02:39:47.000,18587,"""",0,0,0,Hyp,0:12.1
[02:40:48.000,18648,"""",0,0,0,Hyp,0:19.0
[02:41:12.000,18672,"""",0,0,0,Hyp,0:10.8
[02:41:51.000,18711,"""",0,0,0,Hyp,0:14.4
[02:42:20.000,18740,"""",0,0,0,Hyp,0:13.9
[02:43:36.000,18816,"""",0,0,0,Hyp,0:17.5
[02:44:09.000,18849,"""",0,0,0,Hyp,0:27.3
[02:44:55.000,18895,"""",0,0,0,Hyp,0:11.1
[02:45:36.000,18936,"""",0,0,0,Hyp,0:10.0
[02:47:06.000,19026,"""",0,0,0,Hyp,0:12.3
[02:48:25.000,19105,"""",0,0,0,Hyp,0:15.9
[02:49:05.000,19145,"""",0,0,0,Hyp,0:12.8
[02:49:42.000,19182,"""",0,0,0,Hyp,0:12.9
[02:50:08.000,19208,"""",0,0,0,Hyp,0:28.0
[02:51:05.000,19265,"""",0,0,0,Hyp,0:15.7
[02:51:43.000,19303,"""",0,0,0,Hyp,0:13.4
[02:52:14.000,19334,"""",0,0,0,Hyp,0:10.8
[02:53:05.000,19385,"""",0,0,0,Hyp,0:17.3
[02:53:34.000,19414,"""",0,0,0,Cn.A,0:14.7
[02:54:14.000,19454,"""",0,0,0,Hyp,0:16.5
[02:54:38.000,19478,"""",0,0,0,Hyp,0:12.6
[02:55:21.000,19521,"""",0,0,0,Hyp,0:10.0
[02:56:41.000,19601,"""",0,0,0,Hyp,0:15.2
[02:57:47.000,19667,"""",0,0,0,Hyp,0:25.5
[02:58:31.000,19711,"""",0,0,0,Hyp,0:18.8
[02:59:27.000,19767,"""",0,0,0,Hyp,0:15.7
[03:01:45.000,19905,"""",0,0,0,Hyp,0:11.1
[03:02:07.000,19927,"""",0,0,0,Hyp,0:11.1
[03:02:29.000,19949,"""",0,0,0,Hyp,0:10.6
[03:03:07.000,19987,"""",0,0,0,Hyp,0:23.6
